user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],-11.0706415,1
22,1,3829,[0 0 0 0 0],-12.847418,0
22,1,3412,[0 0 0 0 0],-18.089584,0
22,1,3989,[0 0 0 0 0],-19.9375,0
22,1,2587,[0 0 0 0 0],-14.000318,0
22,1,3990,[0 0 0 0 0],-13.176249,0
22,1,2559,[0 0 0 0 0],-16.426472,0
22,1,2906,[0 0 0 0 0],-11.612851,0
22,1,2869,[0 0 0 0 0],-16.414656,0
22,1,3096,[0 0 0 0 0],-14.430776,0
22,1,3632,[0 0 0 0 0],-9.415722,0
22,1,2974,[0 0 0 0 0],-16.30082,0
22,1,3372,[0 0 0 0 0],-12.6255,0
22,1,3991,[0 0 0 0 0],-15.985787,0
22,1,3426,[0 0 0 0 0],-12.280706,0
22,1,3089,[0 0 0 0 0],-14.9432,0
22,1,3579,[0 0 0 0 0],-12.852475,0
22,1,3391,[0 0 0 0 0],-13.236401,0
22,1,3403,[0 0 0 0 0],-12.34418,0
22,1,2627,[0 0 0 0 0],-10.861998,0
22,1,3992,[0 0 0 0 0],-12.0902605,0
22,1,3833,[0 0 0 0 0],-11.555452,0
22,1,3993,[0 0 0 0 0],-11.005127,0
22,1,3425,[0 0 0 0 0],-15.293207,0
22,1,3994,[0 0 0 0 0],-11.032494,0
22,1,3654,[0 0 0 0 0],-12.103964,0
22,1,843,[0 0 0 0 0],11.101696,0
22,1,2918,[0 0 0 0 0],-17.818317,0
22,1,3382,[0 0 0 0 0],-15.42321,0
22,1,2608,[0 0 0 0 0],-11.680122,0
22,1,3665,[0 0 0 0 0],-11.884857,0
22,1,3995,[0 0 0 0 0],-12.234305,0
22,1,2562,[0 0 0 0 0],-13.395349,0
22,1,3433,[0 0 0 0 0],-18.048212,0
22,1,2565,[0 0 0 0 0],-19.928448,0
22,1,2580,[0 0 0 0 0],-9.773477,0
22,1,3408,[0 0 0 0 0],-12.747439,0
22,1,2560,[0 0 0 0 0],-15.94025,0
22,1,3996,[0 0 0 0 0],-18.680014,0
22,1,2919,[0 0 0 0 0],-15.18186,0
22,1,3440,[0 0 0 0 0],-15.942116,0
22,1,3329,[0 0 0 0 0],-12.328786,0
22,1,2567,[0 0 0 0 0],-14.253361,0
22,1,2577,[0 0 0 0 0],-15.27169,0
22,1,3084,[0 0 0 0 0],-15.094963,0
22,1,3639,[0 0 0 0 0],-15.662279,0
22,1,2736,[0 0 0 0 0],-15.103748,0
22,1,2996,[0 0 0 0 0],-17.233288,0
22,1,2576,[0 0 0 0 0],-8.625044,0
