user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],0.84792376,1
22,1,3829,[0 0 0 0 0],0.030552356,0
22,1,3412,[0 0 0 0 0],0.18432528,0
22,1,3989,[0 0 0 0 0],0.34616545,0
22,1,2587,[0 0 0 0 0],0.85647917,0
22,1,3990,[0 0 0 0 0],0.9946109,0
22,1,2559,[0 0 0 0 0],0.9447735,0
22,1,2906,[0 0 0 0 0],0.98701304,0
22,1,2869,[0 0 0 0 0],0.7698803,0
22,1,3096,[0 0 0 0 0],0.3129428,0
22,1,3632,[0 0 0 0 0],0.7311459,0
22,1,2974,[0 0 0 0 0],0.7200058,0
22,1,3372,[0 0 0 0 0],0.9968353,0
22,1,3991,[0 0 0 0 0],0.13127317,0
22,1,3426,[0 0 0 0 0],0.9793595,0
22,1,3089,[0 0 0 0 0],0.89453226,0
22,1,3579,[0 0 0 0 0],0.9037703,0
22,1,3391,[0 0 0 0 0],0.9558701,0
22,1,3403,[0 0 0 0 0],0.93303376,0
22,1,2627,[0 0 0 0 0],0.852098,0
22,1,3992,[0 0 0 0 0],0.9520156,0
22,1,3833,[0 0 0 0 0],0.97876084,0
22,1,3993,[0 0 0 0 0],0.054522496,0
22,1,3425,[0 0 0 0 0],0.7652471,0
22,1,3994,[0 0 0 0 0],0.055460535,0
22,1,3654,[0 0 0 0 0],0.099635705,0
22,1,843,[0 0 0 0 0],1.0,0
22,1,2918,[0 0 0 0 0],0.7011678,0
22,1,3382,[0 0 0 0 0],0.9664149,0
22,1,2608,[0 0 0 0 0],0.8287824,0
22,1,3665,[0 0 0 0 0],0.54508144,0
22,1,3995,[0 0 0 0 0],0.78452355,0
22,1,2562,[0 0 0 0 0],0.6748253,0
22,1,3433,[0 0 0 0 0],0.51845235,0
22,1,2565,[0 0 0 0 0],0.29975688,0
22,1,2580,[0 0 0 0 0],0.025344536,0
22,1,3408,[0 0 0 0 0],0.025930118,0
22,1,2560,[0 0 0 0 0],0.9188976,0
22,1,3996,[0 0 0 0 0],0.7477525,0
22,1,2919,[0 0 0 0 0],0.054996528,0
22,1,3440,[0 0 0 0 0],0.8022,0
22,1,3329,[0 0 0 0 0],0.32903293,0
22,1,2567,[0 0 0 0 0],0.42245406,0
22,1,2577,[0 0 0 0 0],0.995199,0
22,1,3084,[0 0 0 0 0],0.5923477,0
22,1,3639,[0 0 0 0 0],0.8849634,0
22,1,2736,[0 0 0 0 0],0.10831706,0
22,1,2996,[0 0 0 0 0],0.70771635,0
22,1,2576,[0 0 0 0 0],0.9920189,0
22,1,3420,[0 0 0 0 0],0.044898324,0
22,1,2912,[0 0 0 0 0],0.53147155,0
22,1,2950,[0 0 0 0 0],0.90280885,0
22,1,3438,[0 0 0 0 0],0.12690668,0
22,1,3397,[0 0 0 0 0],0.7404859,0
22,1,3648,[0 0 0 0 0],0.46516618,0
22,1,3997,[0 0 0 0 0],0.16850317,0
22,1,3998,[0 0 0 0 0],0.004500725,0
22,1,3419,[0 0 0 0 0],0.6736576,0
22,1,3417,[0 0 0 0 0],0.4394496,0
22,1,2992,[0 0 0 0 0],0.13855737,0
22,1,2831,[0 0 0 0 0],0.48808223,0
22,1,3031,[0 0 0 0 0],0.95005745,0
22,1,2574,[0 0 0 0 0],0.87585336,0
22,1,2582,[0 0 0 0 0],0.86155987,0
22,1,3409,[0 0 0 0 0],0.9838493,0
22,1,2832,[0 0 0 0 0],0.31654018,0
22,1,2977,[0 0 0 0 0],0.8434558,0
22,1,2858,[0 0 0 0 0],0.9650162,0
22,1,2636,[0 0 0 0 0],0.16624486,0
22,1,2940,[0 0 0 0 0],0.98718786,0
22,1,2990,[0 0 0 0 0],0.07909857,0
22,1,2610,[0 0 0 0 0],0.94095933,0
22,1,3423,[0 0 0 0 0],0.036621347,0
