user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],1.0,1
22,1,3829,[0 0 0 0 0],1.0,0
22,1,3412,[0 0 0 0 0],1.0,0
22,1,3989,[0 0 0 0 0],0.0880487,0
22,1,2587,[0 0 0 0 0],0.05237837,0
22,1,3990,[0 0 0 0 0],1.0,0
22,1,2559,[0 0 0 0 0],0.9976484,0
22,1,2906,[0 0 0 0 0],1.0,0
22,1,2869,[0 0 0 0 0],5.658587e-06,0
22,1,3096,[0 0 0 0 0],0.9999821,0
22,1,3632,[0 0 0 0 0],1.0,0
22,1,2974,[0 0 0 0 0],1.0,0
22,1,3372,[0 0 0 0 0],0.99999917,0
22,1,3991,[0 0 0 0 0],0.9999956,0
22,1,3426,[0 0 0 0 0],0.15129769,0
22,1,3089,[0 0 0 0 0],0.9999999,0
22,1,3579,[0 0 0 0 0],0.91458094,0
22,1,3391,[0 0 0 0 0],1.0,0
22,1,3403,[0 0 0 0 0],0.99132967,0
22,1,2627,[0 0 0 0 0],0.9999999,0
22,1,3992,[0 0 0 0 0],0.9996495,0
22,1,3833,[0 0 0 0 0],0.170839,0
22,1,3993,[0 0 0 0 0],7.119319e-05,0
22,1,3425,[0 0 0 0 0],0.9999995,0
22,1,3994,[0 0 0 0 0],1.9404198e-12,0
22,1,3654,[0 0 0 0 0],6.100986e-07,0
22,1,843,[0 0 0 0 0],1.0,0
22,1,2918,[0 0 0 0 0],1.0,0
22,1,3382,[0 0 0 0 0],0.9807357,0
22,1,2608,[0 0 0 0 0],0.8897588,0
22,1,3665,[0 0 0 0 0],1.932129e-06,0
22,1,3995,[0 0 0 0 0],0.99999976,0
22,1,2562,[0 0 0 0 0],0.9999974,0
22,1,3433,[0 0 0 0 0],1.0,0
22,1,2565,[0 0 0 0 0],0.9747365,0
22,1,2580,[0 0 0 0 0],1.0,0
22,1,3408,[0 0 0 0 0],1.0,0
22,1,2560,[0 0 0 0 0],0.9999999,0
22,1,3996,[0 0 0 0 0],1.0,0
22,1,2919,[0 0 0 0 0],1.0,0
22,1,3440,[0 0 0 0 0],0.17066418,0
22,1,3329,[0 0 0 0 0],0.99995244,0
22,1,2567,[0 0 0 0 0],0.8802542,0
22,1,2577,[0 0 0 0 0],0.9978502,0
22,1,3084,[0 0 0 0 0],0.85772055,0
22,1,3639,[0 0 0 0 0],1.7881526e-05,0
22,1,2736,[0 0 0 0 0],0.99999976,0
22,1,2996,[0 0 0 0 0],1.0,0
